"serial","orthography","klattese","frequency","stratum","density"
178,"이미","imi",9480,"sino",37
179,"이미","imi",9480,"native",37
180,"영화","VGhW",9456,"sino",13
181,"문학","munhag",9427,"sino",6
182,"어렵","^lVb",9397,"sino",0
183,"사용","saOG",9386,"sino",8
184,"좀","zom",9375,"native",35
185,"국민","gugmin",9333,"sino",4
186,"또한","Dohan",9288,"native",2
187,"관련","gWnlVn",9276,"sino",1
188,"연구","Vngu",9235,"sino",16
189,"시장","sizaG",9212,"sino",29
190,"사건","sag^n",9168,"sino",7
191,"세상","sEsaG",9099,"sino",14
192,"삶","salm",9090,"native",17
193,"결과","gVlgW",9014,"sino",3
194,"이제","izE",9003,"sino",34
195,"같이","gati",8997,"native",14
196,"물론","mullon",8988,"sino",1
197,"책","cEg",8961,"sino",33
198,"과정","gWz^G",8940,"sino",15
199,"현실","hVnsil",8933,"sino",4
200,"쪽","Zog",8922,"native",35
201,"시","si",8910,"sino",70
202,"시","si",8910,"native",70
203,"짓","zis",8683,"native",33
204,"또는","Donxn",8666,"native",1
205,"얘기","Jgi",8660,"native",27
206,"가운데","gaundE",8619,"native",2
207,"북한","bughan",8594,"sino",2
208,"내용","nEOG",8582,"sino",6
209,"이름","ilxm",8552,"native",11
210,"주장","zuzaG",8539,"sino",22
211,"무슨","musxn",8505,"native",5
212,"물","mul",8446,"native",64
213,"학생","hagsEG",8256,"sino",2
214,"억","^g",8217,"sino",48
215,"억","^g",8217,"native",48
216,"이유","iU",8211,"sino",39
217,"활동","hWldoG",8202,"sino",0
218,"이후","ihu",8113,"sino",14
219,"중국","zuGgug",8047,"sino",4
220,"힘","him",8024,"native",28
221,"정보","z^Gbo",8019,"sino",15
222,"기술","gisul",7965,"sino",9
223,"뜻","Dxs",7945,"native",5
224,"너무","n^mu",7938,"native",9
225,"남","nam",7864,"sino",47
226,"상황","saGhWG",7827,"sino",8
227,"조사","zosa",7816,"sino",20
228,"간","gan",7770,"sino",69
229,"하지만","haziman",7735,"native",0
230,"내리","nEli",7726,"sino",26
231,"내리","nEli",7726,"native",26
232,"채","cE",7708,"native",61
233,"정신","z^Gsin",7666,"sino",12
234,"더욱","d^ug",7646,"native",5
235,"변화","bVnhW",7621,"sino",8
236,"소설","sos^l",7579,"sino",8
237,"환경","hWngVG",7568,"sino",3
