from,to
ぞぁ,せ
ぞせ,せ
ぞぇ,ぜ
ぞぜ,ぜ
ぞじ,ず
ぞず,ず
ぁぞ,せ
せぞ,せ
ぇぞ,ぜ
ぜぞ,ぜ
げぞ,そ
そぞ,そ
じぞ,ず
ずぞ,ず
さぞ,ぜ
じぞ,ぜ
ずぞ,ぜ
ぞさ,ざ
